Date,Open,High,Low,Close,Volume,ticker
2017-03-13,7.2,9.0,7.0,8.35,94480,AKTSQ
2017-03-14,8.5,8.5,8.3766,8.3995,11457,AKTSQ
2017-03-15,8.25,8.3636,8.2,8.2403,16904,AKTSQ
2017-03-16,8.2991,8.2991,7.7733,7.7733,2774,AKTSQ
2017-03-17,7.65,8.5,7.6,8.5,9623,AKTSQ
2017-03-20,8.3499,8.3499,8.1497,8.25,26554,AKTSQ
2017-03-21,8.5,9.25,8.5,9.2324,198484,AKTSQ
2017-03-22,9.62,9.62,8.9001,9.2,52669,AKTSQ
2017-03-23,10.0,10.0,9.25,9.49,65523,AKTSQ
2017-03-24,9.5,11.5,9.5,10.05,186847,AKTSQ
2017-03-27,10.5,10.85,10.2,10.7,142364,AKTSQ
2017-03-28,10.6,12.5,10.6,12.48,192064,AKTSQ
2017-03-29,14.0,14.0,12.604,13.0,224689,AKTSQ
2017-03-30,13.24,13.24,12.6,12.85,113770,AKTSQ
2017-03-31,12.9947,13.05,12.5501,12.84,64609,AKTSQ
2017-04-03,12.9,12.9,10.69,11.3,158391,AKTSQ
2017-04-04,11.3,11.3,10.6,10.81,87235,AKTSQ
2017-04-05,10.5,10.5521,9.95,10.07,168223,AKTSQ
2017-04-06,10.01,10.78,9.6,10.67,107058,AKTSQ
2017-04-07,10.16,10.75,10.1,10.4,47493,AKTSQ
2017-04-10,10.21,10.3,10.06,10.19,26591,AKTSQ
2017-04-11,10.13,11.04,9.8716,10.9,133265,AKTSQ
2017-04-12,10.9,12.25,10.9,11.86,97861,AKTSQ
2017-04-13,13.01,13.01,11.4096,12.39,33691,AKTSQ
2017-04-17,11.43,11.99,11.4,11.53,47768,AKTSQ
2017-04-18,11.8,11.8,11.05,11.64,25604,AKTSQ
2017-04-19,11.4,11.4,10.25,10.27,82071,AKTSQ
2017-04-20,10.73,10.73,10.05,10.36,77094,AKTSQ
2017-04-21,10.61,10.83,10.12,10.19,44801,AKTSQ
2017-04-24,10.44,10.73,10.2189,10.45,35250,AKTSQ
2017-04-25,10.4,10.5,10.3,10.3,39045,AKTSQ
2017-04-26,10.5,10.7,10.3014,10.4,37526,AKTSQ
2017-04-27,10.3,10.605,10.0,10.2,46409,AKTSQ
2017-04-28,10.06,10.18,9.8,9.86,46955,AKTSQ
2017-05-01,9.98,9.98,9.45,9.73,45631,AKTSQ
2017-05-02,9.57,9.99,9.57,9.79,23875,AKTSQ
2017-05-03,10.0,10.0,9.5,9.62,36682,AKTSQ
2017-05-04,9.78,9.78,9.33,9.6,71657,AKTSQ
2017-05-05,9.45,9.8,9.45,9.675,16567,AKTSQ
2017-05-08,9.74,9.755,9.55,9.61,23569,AKTSQ
2017-05-09,9.68,9.82,9.4,9.6,58861,AKTSQ
2017-05-10,9.684,9.98,9.5,9.87,71781,AKTSQ
2017-05-11,10.16,10.2,9.75,10.1,54646,AKTSQ
2017-05-12,10.1,10.1,9.93,10.1,32400,AKTSQ
2017-05-15,10.1,10.1,9.82,10.03,18539,AKTSQ
